Country	Anbirthrate	Pop	muh	contact_rateh	infectious_period	iotah	Dcases	TestsP	latent_referece	latent_alpha	latent_beta	latent_delta	latent_future1	latent_future2	alpha_prop	beta_prop	delta_prop	future1_prop	future2_prop	epsilonh	sev_reduce	reference_trans	alpha_trans	beta_trans	delta_trans	future1_trans	future2_trans	sigmaSE	k_in	prop_pos_imm	infect_reduce	mort_reduce	epsilonh_reduce	infectious_period_reduce	epsilonhOmi	epsilonh40	epsilonh60	lenth_of_stay	pop_inf_factor	pop_inf_factor1	pop_inf_factor2	vulnerability	vulnerability1	pop_inf_factor3	pop_inf_factor4	vun_pop_infl_factor	True burden	prop_pop_imm_21_infected	Fully_vacc	prop_pop_imm_21	deathreported	k_inA
Nigeria	0.03726	211400704	0.0114	3.68	10	28	3034	241607	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.05	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	5500	0.001142886	0.000181818	0.013986029	0.008401251	0.001514381	0.007993015	0.000254291	91737574	0.433951128	2.175	0.446262691	0.062155597	0.02175
Rwanda	0.03092	13276517	0.005	2.69	10	5	1349	110648	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.05	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	550	0.008334114	0.001818182	0.015509874	0.014965716	0.008789925	0.012754937	0.002819977	5870486	0.442170639	41.963	0.676252574	0.648000605	0.41963
Sao Tome and Principe	0.0308	223364	0.00471	21	10	8	59	4029	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.075	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	3.9	0.018037822	0.256410256	0.0144363	0.000285802	0.258356315	0.25721815	0.370161538	101760	0.455579234	23.369	0.582804923	0.9	0.23369
Senegal	0.0334	17196308	0.0055	2.5	10	83	1890	74870	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.05	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	640	0.004353842	0.0015625	0.015089292	0.002284735	0.004654125	0.010044646	0.002357702	7530875	0.437935573	5.642	0.469647248	0.257514028	0.05642
Seychelles	0.0161	98910	0.007921	5.3	10	22	126	24661	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.075	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	16.3	0.249327672	0.061349693	0.043060401	0.000388808	0.263679102	0.164387343	0.264174239	75524	0.763562835	79.578	0.951714802	0.99	0.79578
Sierra Leone	0.0324	8141343	0.0113	6.39	10	2	123	6983	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.075	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	215	0.000857721	0.004651163	0.012867682	0.008686318	0.010394407	0.016433841	0.005984968	3507473	0.430822409	4.829	0.458307994	0.050282245	0.04829
South Sudan	0.03477	11381377	0.0102	7.8	10	1	143	15248	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.05	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	290	0.001339732	0.003448276	0.018482095	0.014581661	0.010566891	0.019241047	0.006373136	4941483	0.434172684	1.73	0.443961497	0.078197297	0.0173
Togo	0.032604	8478242	0.0082	5.87	10	8	248	30169	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.05	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	310	0.003558403	0.003225806	0.014468529	0.013436238	0.009249234	0.014926572	0.004667267	3707521	0.437298322	12.331	0.506685066	0.223014586	0.12331
Uganda	0.03645	47123533	0.0062	5.5	10	7	2910	120404	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.05	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	1250	0.002555072	0.0008	0.011553807	0.02980457	0.001692527	0.006110237	0.000924305	20552111	0.436132643	3.079	0.453494119	0.131585295	0.03079
United Republic of Tanzania	0.036199	61498438	0.0061	6.88	10	23	737	29306	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.05	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	53	0.000476532	0.018867925	0.019774	0.025341611	0.001047233	0.010720333	0.037309434	26279966	0.427327374	2.275	0.440355676	0.023072636	0.02275
Zambia	0.035733	18920657	0.0062	2.57	10	3	3730	249199	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.05	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	472	0.013170737	0.002118644	0.014941171	0.062397089	0.008077951	0.009970586	0.003165502	8529905	0.45082499	3.41	0.469551858	0.665020867	0.0341
Zimbabwe	0.029583	15092171	0.0077	3.99	10	3	4999	211728	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.035	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	290	0.014028996	0.003448276	0.015252519	0.074669796	0.008037308	0.01012626	0.005259489	6841779	0.45333299	21.058	0.568450129	0.65	0.21058
